index,city,state
850,SULTANPUR,Uttar Pradesh
851,AMETHI,Uttar Pradesh
852,PILIBHIT,Uttar Pradesh
853,BAREILLY,Uttar Pradesh
854,Pilibhit,Uttar Pradesh
855,BIJNOR,Uttar Pradesh
856,BUDAUN,Uttar Pradesh
857,HARDOI,Uttar Pradesh
858,KHERI,Uttar Pradesh
859,MEERUT,Uttar Pradesh
860,BAGPAT,Uttar Pradesh
861,AMROHA,Uttar Pradesh
862,SAMBHAL,Uttar Pradesh
863,RAMPUR,Uttar Pradesh
864,MORADABAD,Uttar Pradesh
865,KANPUR NAGAR,Uttar Pradesh
866,MUZAFFARNAGAR,Uttar Pradesh
867,SAHARANPUR,Uttar Pradesh
868,HARIDWAR,Uttar Pradesh
869,SHAHJAHANPUR,Uttar Pradesh
870,Shahjahanpur,Uttar Pradesh
871,SANT RAVIDAS NAGAR,Uttar Pradesh
872,AZAMGARH,Uttar Pradesh
873,MAU,Uttar Pradesh
874,SHRAWASTI,Uttar Pradesh
875,BAHRAICH,Uttar Pradesh
876,SIDDHARTHNAGAR,Uttar Pradesh
877,BASTI,Uttar Pradesh
878,SANT KABIR NAGAR,Uttar Pradesh
879,BASTI,Daman and Diu
880,SIDDHARTHNAGAR,Lakshadweep
881,BASTI,Chandigarh
882,SIDDHARTHNAGAR,Pondicherry
883,SIDDHARTHNAGAR,West Bengal
884,SIDDHARTHNAGAR,Delhi
885,BASTI,Dadra and Nagar Hav.
886,BASTI,Andaman and Nico.In.
887,DEORIA,Uttar Pradesh
888,GONDA,Uttar Pradesh
889,BALRAMPUR,Uttar Pradesh
890,GORAKHPUR,Uttar Pradesh
891,MAHARAJGANJ,Uttar Pradesh
892,MAHRAJGANJ,Uttar Pradesh
893,Gorakhpur,Uttar Pradesh
894,Maharajganj,Uttar Pradesh
895,BANDA,Uttar Pradesh
896,CHITRAKOOT,Uttar Pradesh
897,MAHOBA,Uttar Pradesh
898,HAMIRPUR,Uttar Pradesh
899,KANNAUJ,Uttar Pradesh
900,FARRUKHABAD,Uttar Pradesh
901,FATEHPUR,Uttar Pradesh
902,UNNAO,Uttar Pradesh
903,BARABANKI,Uttar Pradesh
904,AMBEDKAR NAGAR,Uttar Pradesh
905,GHAZIABAD,Uttar Pradesh
906,LUCKNOW,Uttar Pradesh
907,Lucknow,Uttar Pradesh
908,SITAPUR,Uttar Pradesh
909,BALLIA,Uttar Pradesh
910,BALLIA,Bihar
911,JAUNPUR,Uttar Pradesh
912,CHANDAULI,Uttar Pradesh
913,Varanasi,Uttar Pradesh
914,ALMORA,Uttarakhand
915,BAGESHWAR,Uttarakhand
916,CHAMOLI,Uttarakhand
917,RUDRAPRAYAG,Uttarakhand
918,HARIDWAR,Uttarakhand
919,DEHRADUN,Uttarakhand
920,NAINITAL,Uttarakhand
921,CHAMPAWAT,Uttarakhand
922,UDHAM SINGH NAGAR,Uttarakhand
923,PAURI GARHWAL,Uttarakhand
924,PITHORAGARH,Uttarakhand
925,TEHRI GARHWAL,Uttarakhand
926,UTTARKASHI,Uttarakhand
927,EAST SIKKIM,Sikkim
928,WEST SIKKIM,Sikkim
929,SOUTH SIKKIM,Sikkim
930,EAST SIKKIM,West Bengal
931,NORTH SIKKIM,Sikkim
932,NORTH SIKKIM,West Bengal
933,SOUTH SIKKIM,West Bengal
934,South Andaman,Andaman and Nico.In.
935,North And Middle Andaman,Andaman and Nico.In.
936,Nicobar,Andaman and Nico.In.
937,Port Blair,West Bengal
938,North & Middle Andaman,Andaman and Nico.In.
939,Kolkata,West Bengal
940,NORTH 24 PARGANAS,West Bengal
941,BIRBHUM,West Bengal
942,KOLKATA,West Bengal
943,SOUTH 24 PARGANAS,West Bengal
944,North 24 Parganas,West Bengal
945,MURSHIDABAD,West Bengal
946,MEDINIPUR,West Bengal
947,NADIA,West Bengal
948,KOLKATA,Andaman and Nico.In.
949,COOCH BEHAR,West Bengal
950,JALPAIGURI,West Bengal
951,DARJILING,West Bengal
952,EAST MIDNAPORE,West Bengal
953,Darjeeling,West Bengal
954,Kalimpong,West Bengal
955,WEST MIDNAPORE,West Bengal
956,SOUTH DINAJPUR,West Bengal
957,NORTH DINAJPUR,West Bengal
958,MALDA,West Bengal
959,BARDHAMAN,West Bengal
960,Paschim Bardhaman,West Bengal
961,BANKURA,West Bengal
962,Bankura,West Bengal
963,HOOGHLY,West Bengal
964,HOWRAH,West Bengal
965,PURULIYA,West Bengal
